t,d01_err,d02_err,d12_err,o_error,o_error_deg
0.00,0.7000,0.7000,0.7000,0.0000,56.31
0.02,0.7000,0.7000,0.7000,0.0000,56.31
0.04,0.7000,0.7000,0.7000,0.0000,56.31
0.06,0.7000,0.7000,0.7000,0.0000,56.31
0.08,0.7000,0.7000,0.7000,0.0000,56.31
0.10,0.7000,0.7000,0.7000,0.0000,56.31
0.12,0.7000,0.7000,0.7000,0.0000,56.31
0.14,0.7000,0.7000,0.7000,0.0000,56.31
0.16,0.7000,0.7000,0.7000,0.0000,56.31
0.18,0.7000,0.7000,0.7000,0.0000,56.31
0.20,0.7000,0.7000,0.7000,0.0000,56.31
0.22,0.4999,0.4999,0.7000,0.2001,56.26
0.24,0.4999,0.7142,0.5807,0.2001,56.26
0.26,0.4181,0.7142,0.8000,1.1181,29.74
0.28,0.4181,0.7142,0.8000,1.1181,29.74
0.30,0.4181,0.7142,0.8000,1.1181,29.74
0.32,0.4181,0.7142,0.8000,1.1181,29.74
0.34,0.4181,0.7142,0.8000,1.1181,29.74
0.36,0.4181,0.7142,0.8000,1.1181,29.74
0.38,0.4181,0.7142,0.8000,1.1181,29.74
0.40,0.4181,0.7142,0.8000,1.1181,29.74
0.42,0.4181,0.7142,0.8000,1.1181,29.74
0.44,0.4181,0.7142,0.8000,1.1181,29.74
0.46,0.4181,0.7142,0.8000,1.1181,29.74
0.48,0.4181,0.7142,0.8000,1.1181,29.74
0.50,0.4181,0.7142,0.8000,1.1181,29.74
0.52,0.4181,0.7142,0.8000,1.1181,29.74
0.54,0.4181,0.7142,0.8000,1.1181,29.74
0.56,0.4181,0.7142,0.8000,1.1181,29.74
0.58,0.4181,0.7142,0.8000,1.1181,29.74
0.60,0.4181,0.7142,0.8000,1.1181,29.74
0.62,0.4181,0.7142,0.8000,1.1181,29.74
0.64,0.4181,0.7142,0.8000,1.1181,29.74
0.66,0.4181,0.7142,0.8000,1.1181,29.74
0.68,0.4181,0.7142,0.8000,1.1181,29.74
0.70,0.4181,0.7142,0.8000,1.1181,29.74
0.72,0.4181,0.7142,0.8000,1.1181,29.74
0.74,0.4181,0.7142,0.8000,1.1181,29.74
0.76,0.4181,0.7142,0.8000,1.1181,29.74
0.78,0.4181,0.7142,0.8000,1.1181,29.74
0.80,0.4181,0.7142,0.8000,1.1181,29.74
0.82,0.4181,0.7142,0.8000,1.1181,29.74
0.84,0.4181,0.7142,0.8000,1.1181,29.74
0.86,0.4181,0.7142,0.8000,1.1181,29.74
0.88,0.4181,0.7142,0.8000,1.1181,29.74
0.90,0.4181,0.7142,0.8000,1.1181,29.74
0.92,0.4181,0.7142,0.8000,1.1181,29.74
0.94,0.4181,0.7142,0.8000,1.1181,29.74
0.96,0.4181,0.7142,0.8000,1.1181,29.74
0.98,0.4181,0.7142,0.8000,1.1181,29.74
1.00,0.4181,0.7142,0.8000,1.1181,29.74
1.02,0.4181,0.7142,0.8000,1.1181,29.74
1.04,0.4181,0.7142,0.8000,1.1181,29.74
1.06,0.4181,0.7142,0.8000,1.1181,29.74
1.08,0.4181,0.7142,0.8000,1.1181,29.74
1.10,0.4181,0.7142,0.8000,1.1181,29.74
1.12,0.4181,0.7142,0.8000,1.1181,29.74
1.14,0.4181,0.7142,0.8000,1.1181,29.74
1.16,0.4181,0.7142,0.8000,1.1181,29.74
1.18,0.4181,0.7142,0.8000,1.1181,29.74
1.20,0.4181,0.7142,0.8000,1.1181,29.74
1.22,0.4181,0.7142,0.8000,1.1181,29.74
1.24,0.4181,0.7142,0.8000,1.1181,29.74
1.26,0.4181,0.7142,0.8000,1.1181,29.74
1.28,0.4181,0.7142,0.8000,1.1181,29.74
1.30,0.4181,0.7142,0.8000,1.1181,29.74
1.32,0.4181,0.7142,0.8000,1.1181,29.74
1.34,0.4181,0.7142,0.8000,1.1181,29.74
1.36,0.4181,0.7142,0.8000,1.1181,29.74
1.38,0.4181,0.7142,0.8000,1.1181,29.74
1.40,0.4181,0.7142,0.8000,1.1181,29.74
1.42,0.4181,0.7142,0.8000,1.1181,29.74
1.44,0.4181,0.7142,0.8000,1.1181,29.74
1.46,0.4181,0.7142,0.8000,1.1181,29.74
1.48,0.4181,0.7142,0.8000,1.1181,29.74
1.50,0.4181,0.7142,0.8000,1.1181,29.74
1.52,0.4181,0.7142,0.8000,1.1181,29.74
1.54,0.4181,0.7142,0.8000,1.1181,29.74
1.56,0.4181,0.7142,0.8000,1.1181,29.74
1.58,0.4181,0.7142,0.8000,1.1181,29.74
1.60,0.4181,0.7142,0.8000,1.1181,29.74
1.62,0.4181,0.7142,0.8000,1.1181,29.74
1.64,0.4181,0.7142,0.8000,1.1181,29.74
1.66,0.4181,0.7142,0.8000,1.1181,29.74
1.68,0.4181,0.7142,0.8000,1.1181,29.74
1.70,0.4181,0.7142,0.8000,1.1181,29.74
1.72,0.4181,0.7142,0.8000,1.1181,29.74
1.74,0.4181,0.7142,0.8000,1.1181,29.74
1.76,0.4181,0.7142,0.8000,1.1181,29.74
1.78,0.4181,0.7142,0.8000,1.1181,29.74
1.80,0.4181,0.7142,0.8000,1.1181,29.74
1.82,0.4181,0.7142,0.8000,1.1181,29.74
1.84,0.4181,0.7142,0.8000,1.1181,29.74
1.86,0.4181,0.7142,0.8000,1.1181,29.74
1.88,0.4181,0.7142,0.8000,1.1181,29.74
1.90,0.4181,0.7142,0.8000,1.1181,29.74
1.92,0.4181,0.7142,0.8000,1.1181,29.74
1.94,0.4181,0.7142,0.8000,1.1181,29.74
1.96,0.4181,0.7142,0.8000,1.1181,29.74
1.98,0.4181,0.7142,0.8000,1.1181,29.74
2.00,0.4181,0.7142,0.8000,1.1181,29.74
2.02,0.4181,0.7142,0.8000,1.1181,29.74
2.04,0.4181,0.7142,0.8000,1.1181,29.74
2.06,0.4181,0.7142,0.8000,1.1181,29.74
2.08,0.4181,0.7142,0.8000,1.1181,29.74
2.10,0.4181,0.7142,0.8000,1.1181,29.74
2.12,0.4181,0.7142,0.8000,1.1181,29.74
2.14,0.4181,0.7142,0.8000,1.1181,29.74
2.16,0.4181,0.7142,0.8000,1.1181,29.74
2.18,0.4181,0.7142,0.8000,1.1181,29.74
2.20,0.4181,0.7142,0.8000,1.1181,29.74
2.22,0.4181,0.7142,0.8000,1.1181,29.74
2.24,0.4181,0.7142,0.8000,1.1181,29.74
2.26,0.4181,0.7142,0.8000,1.1181,29.74
2.28,0.4181,0.7142,0.8000,1.1181,29.74
2.30,0.4181,0.7142,0.8000,1.1181,29.74
2.32,0.4181,0.7142,0.8000,1.1181,29.74
2.34,0.4181,0.7142,0.8000,1.1181,29.74
2.36,0.4181,0.7142,0.8000,1.1181,29.74
2.38,0.4181,0.7142,0.8000,1.1181,29.74
2.40,0.4181,0.7142,0.8000,1.1181,29.74
2.42,0.4181,0.7142,0.8000,1.1181,29.74
2.44,0.4181,0.7142,0.8000,1.1181,29.74
2.46,0.4181,0.7142,0.8000,1.1181,29.74
2.48,0.4181,0.7142,0.8000,1.1181,29.74
2.50,0.4181,0.7142,0.8000,1.1181,29.74
2.52,0.4181,0.7142,0.8000,1.1181,29.74
2.54,0.4181,0.7142,0.8000,1.1181,29.74
2.56,0.4181,0.7142,0.8000,1.1181,29.74
2.58,0.4181,0.7142,0.8000,1.1181,29.74
2.60,0.4181,0.7142,0.8000,1.1181,29.74
2.62,0.4181,0.7142,0.8000,1.1181,29.74
2.64,0.4181,0.7142,0.8000,1.1181,29.74
2.66,0.4181,0.7142,0.8000,1.1181,29.74
2.68,0.4181,0.7142,0.8000,1.1181,29.74
2.70,0.4181,0.7142,0.8000,1.1181,29.74
2.72,0.4181,0.7142,0.8000,1.1181,29.74
2.74,0.4181,0.7142,0.8000,1.1181,29.74
2.76,0.4181,0.7142,0.8000,1.1181,29.74
2.78,0.4181,0.7142,0.8000,1.1181,29.74
2.80,0.4181,0.7142,0.8000,1.1181,29.74
2.82,0.4181,0.7142,0.8000,1.1181,29.74
2.84,0.4181,0.7142,0.8000,1.1181,29.74
2.86,0.4181,0.7142,0.8000,1.1181,29.74
2.88,0.4181,0.7142,0.8000,1.1181,29.74
2.90,0.4181,0.7142,0.8000,1.1181,29.74
2.92,0.4181,0.7142,0.8000,1.1181,29.74
2.94,0.4181,0.7142,0.8000,1.1181,29.74
2.96,0.4181,0.7142,0.8000,1.1181,29.74
2.98,0.4181,0.7142,0.8000,1.1181,29.74
3.00,0.4181,0.7142,0.8000,1.1181,29.74
3.02,0.4181,0.7142,0.8000,1.1181,29.74
3.04,0.4181,0.7142,0.8000,1.1181,29.74
3.06,0.4181,0.7142,0.8000,1.1181,29.74
3.08,0.4181,0.7142,0.8000,1.1181,29.74
3.10,0.4181,0.7142,0.8000,1.1181,29.74
3.12,0.4181,0.7142,0.8000,1.1181,29.74
3.14,0.4181,0.7142,0.8000,1.1181,29.74
3.16,0.4181,0.7142,0.8000,1.1181,29.74
3.18,0.4181,0.7142,0.8000,1.1181,29.74
3.20,0.4181,0.7142,0.8000,1.1181,29.74
3.22,0.4181,0.7142,0.8000,1.1181,29.74
3.24,0.4181,0.7142,0.8000,1.1181,29.74
3.26,0.4181,0.7142,0.8000,1.1181,29.74
3.28,0.4181,0.7142,0.8000,1.1181,29.74
3.30,0.4181,0.7142,0.8000,1.1181,29.74
3.32,0.4181,0.7142,0.8000,1.1181,29.74
3.34,0.4181,0.7142,0.8000,1.1181,29.74
3.36,0.4181,0.7142,0.8000,1.1181,29.74
3.38,0.4181,0.7142,0.8000,1.1181,29.74
3.40,0.4181,0.7142,0.8000,1.1181,29.74
3.42,0.4181,0.7142,0.8000,1.1181,29.74
3.44,0.4181,0.7142,0.8000,1.1181,29.74
3.46,0.4181,0.7142,0.8000,1.1181,29.74
3.48,0.4181,0.7142,0.8000,1.1181,29.74
3.50,0.4181,0.7142,0.8000,1.1181,29.74
3.52,0.4181,0.7142,0.8000,1.1181,29.74
3.54,0.4181,0.7142,0.8000,1.1181,29.74
3.56,0.4181,0.7142,0.8000,1.1181,29.74
3.58,0.4181,0.7142,0.8000,1.1181,29.74
3.60,0.4181,0.7142,0.8000,1.1181,29.74
3.62,0.4181,0.7142,0.8000,1.1181,29.74
3.64,0.4181,0.7142,0.8000,1.1181,29.74
3.66,0.4181,0.7142,0.8000,1.1181,29.74
3.68,0.4181,0.7142,0.8000,1.1181,29.74
3.70,0.4181,0.7142,0.8000,1.1181,29.74
3.72,0.4181,0.7142,0.8000,1.1181,29.74
3.74,0.4181,0.7142,0.8000,1.1181,29.74
3.76,0.4181,0.7142,0.8000,1.1181,29.74
3.78,0.4181,0.7142,0.8000,1.1181,29.74
3.80,0.4181,0.7142,0.8000,1.1181,29.74
3.82,0.4181,0.7142,0.8000,1.1181,29.74
3.84,0.4181,0.7142,0.8000,1.1181,29.74
3.86,0.4181,0.7142,0.8000,1.1181,29.74
3.88,0.4181,0.7142,0.8000,1.1181,29.74
3.90,0.4181,0.7142,0.8000,1.1181,29.74
3.92,0.4181,0.7142,0.8000,1.1181,29.74
3.94,0.4181,0.7142,0.8000,1.1181,29.74
3.96,0.4181,0.7142,0.8000,1.1181,29.74
