t,d01_err,d02_err,d12_err,o_error,o_error_deg
0.00,0.7000,0.8000,1.0000,0.0000,56.31
0.02,0.7000,0.8000,1.0000,0.0000,56.31
0.04,0.7000,0.8000,1.0000,0.0000,56.31
0.06,0.7000,0.8000,1.0000,0.0000,56.31
0.08,0.7000,0.8000,1.0000,0.0000,56.31
0.10,0.7000,0.8000,1.0000,0.0000,56.31
0.12,0.7000,0.8000,1.0000,0.0000,56.31
0.14,0.7000,0.8000,1.0000,0.0000,56.31
0.16,0.7000,0.8000,1.0000,0.0000,56.31
0.18,0.7000,0.8000,1.0000,0.0000,56.31
0.20,0.8265,0.8000,0.5265,1.5265,24.70
0.22,1.0004,0.7809,0.7117,1.7004,28.23
0.24,1.0004,0.7809,0.7117,1.7004,28.23
0.26,1.0004,0.7809,0.7117,1.7004,28.23
0.28,1.0004,0.7809,0.7117,1.7004,28.23
0.30,1.0004,0.7809,0.7117,1.7004,28.23
0.32,1.0004,0.7809,0.7117,1.7004,28.23
0.34,1.0004,0.7809,0.7117,1.7004,28.23
0.36,1.0004,0.7809,0.7117,1.7004,28.23
0.38,1.0004,0.7809,0.7117,1.7004,28.23
0.40,1.0004,0.7809,0.7117,1.7004,28.23
0.42,1.0004,0.7809,0.7117,1.7004,28.23
0.44,1.0004,0.7809,0.7117,1.7004,28.23
0.46,1.0004,0.7809,0.7117,1.7004,28.23
0.48,1.0004,0.7809,0.7117,1.7004,28.23
0.50,1.0004,0.7809,0.7117,1.7004,28.23
0.52,1.0004,0.7809,0.7117,1.7004,28.23
0.54,1.0004,0.7809,0.7117,1.7004,28.23
0.56,1.0004,0.7809,0.7117,1.7004,28.23
0.58,1.0004,0.7809,0.7117,1.7004,28.23
0.60,1.0004,0.7809,0.7117,1.7004,28.23
0.62,1.0004,0.7809,0.7117,1.7004,28.23
0.64,1.0004,0.7809,0.7117,1.7004,28.23
0.66,1.0004,0.7809,0.7117,1.7004,28.23
0.68,1.0004,0.7809,0.7117,1.7004,28.23
0.70,1.0004,0.7809,0.7117,1.7004,28.23
0.72,1.0004,0.7809,0.7117,1.7004,28.23
0.74,1.0004,0.7809,0.7117,1.7004,28.23
0.76,1.0004,0.7809,0.7117,1.7004,28.23
0.78,1.0004,0.7809,0.7117,1.7004,28.23
0.80,1.0004,0.7809,0.7117,1.7004,28.23
0.82,1.0004,0.7809,0.7117,1.7004,28.23
0.84,1.0004,0.7809,0.7117,1.7004,28.23
0.86,1.0004,0.7809,0.7117,1.7004,28.23
0.88,1.0004,0.7809,0.7117,1.7004,28.23
0.90,1.0004,0.7809,0.7117,1.7004,28.23
0.92,1.0004,0.7809,0.7117,1.7004,28.23
0.94,1.0004,0.7809,0.7117,1.7004,28.23
0.96,1.0004,0.7809,0.7117,1.7004,28.23
0.98,1.0004,0.7809,0.7117,1.7004,28.23
1.00,1.0004,0.7809,0.7117,1.7004,28.23
1.02,1.0004,0.7809,0.7117,1.7004,28.23
1.04,1.0004,0.7809,0.7117,1.7004,28.23
1.06,1.0004,0.7809,0.7117,1.7004,28.23
1.08,1.0004,0.7809,0.7117,1.7004,28.23
1.10,1.0004,0.7809,0.7117,1.7004,28.23
1.12,1.0004,0.7809,0.7117,1.7004,28.23
1.14,1.0004,0.7809,0.7117,1.7004,28.23
1.16,1.0004,0.7809,0.7117,1.7004,28.23
1.18,1.0004,0.7809,0.7117,1.7004,28.23
1.20,1.0004,0.7809,0.7117,1.7004,28.23
1.22,1.0004,0.7809,0.7117,1.7004,28.23
1.24,1.0004,0.7809,0.7117,1.7004,28.23
1.26,1.0004,0.7809,0.7117,1.7004,28.23
1.28,1.0004,0.7809,0.7117,1.7004,28.23
1.30,1.0004,0.7809,0.7117,1.7004,28.23
1.32,1.0004,0.7809,0.7117,1.7004,28.23
1.34,1.0004,0.7809,0.7117,1.7004,28.23
1.36,1.0004,0.7809,0.7117,1.7004,28.23
1.38,1.0004,0.7809,0.7117,1.7004,28.23
1.40,1.0004,0.7809,0.7117,1.7004,28.23
1.42,1.0004,0.7809,0.7117,1.7004,28.23
1.44,1.0004,0.7809,0.7117,1.7004,28.23
1.46,1.0004,0.7809,0.7117,1.7004,28.23
1.48,1.0004,0.7809,0.7117,1.7004,28.23
1.50,1.0004,0.7809,0.7117,1.7004,28.23
1.52,1.0004,0.7809,0.7117,1.7004,28.23
1.54,1.0004,0.7809,0.7117,1.7004,28.23
1.56,1.0004,0.7809,0.7117,1.7004,28.23
1.58,1.0004,0.7809,0.7117,1.7004,28.23
1.60,1.0004,0.7809,0.7117,1.7004,28.23
1.62,1.0004,0.7809,0.7117,1.7004,28.23
1.64,1.0004,0.7809,0.7117,1.7004,28.23
1.66,1.0004,0.7809,0.7117,1.7004,28.23
1.68,1.0004,0.7809,0.7117,1.7004,28.23
1.70,1.0004,0.7809,0.7117,1.7004,28.23
1.72,1.0004,0.7809,0.7117,1.7004,28.23
1.74,1.0004,0.7809,0.7117,1.7004,28.23
1.76,1.0004,0.7809,0.7117,1.7004,28.23
1.78,1.0004,0.7809,0.7117,1.7004,28.23
1.80,1.0004,0.7809,0.7117,1.7004,28.23
1.82,1.0004,0.7809,0.7117,1.7004,28.23
1.84,1.0004,0.7809,0.7117,1.7004,28.23
1.86,1.0004,0.7809,0.7117,1.7004,28.23
1.88,1.0004,0.7809,0.7117,1.7004,28.23
1.90,1.0004,0.7809,0.7117,1.7004,28.23
1.92,1.0004,0.7809,0.7117,1.7004,28.23
1.94,1.0004,0.7809,0.7117,1.7004,28.23
1.96,1.0004,0.7809,0.7117,1.7004,28.23
1.98,1.0004,0.7809,0.7117,1.7004,28.23
2.00,1.0004,0.7809,0.7117,1.7004,28.23
2.02,1.0004,0.7809,0.7117,1.7004,28.23
2.04,1.0004,0.7809,0.7117,1.7004,28.23
2.06,1.0004,0.7809,0.7117,1.7004,28.23
2.08,1.0004,0.7809,0.7117,1.7004,28.23
2.10,1.0004,0.7809,0.7117,1.7004,28.23
2.12,1.0004,0.7809,0.7117,1.7004,28.23
2.14,1.0004,0.7809,0.7117,1.7004,28.23
2.16,1.0004,0.7809,0.7117,1.7004,28.23
2.18,1.0004,0.7809,0.7117,1.7004,28.23
2.20,1.0004,0.7809,0.7117,1.7004,28.23
2.22,1.0004,0.7809,0.7117,1.7004,28.23
2.24,1.0004,0.7809,0.7117,1.7004,28.23
